Date,County,Cases,Deaths
2020-03-31,Adams,9,0
2020-03-31,Allegheny,325,2
2020-03-31,Armstrong,5,0
2020-03-31,Beaver,52,1
2020-03-31,Bedford,2,0
2020-03-31,Berks,110,0
2020-03-31,Blair,4,0
2020-03-31,Bradford,7,0
2020-03-31,Bucks,286,3
2020-03-31,Butler,60,2
2020-03-31,Cambria,2,0
2020-03-31,Cameron,1,0
2020-03-31,Carbon,17,1
2020-03-31,Centre,26,0
2020-03-31,Chester,159,1
2020-03-31,Clarion,3,0
2020-03-31,Clearfield,4,0
2020-03-31,Columbia,7,0
2020-03-31,Crawford,4,0
2020-03-31,Cumberland,36,1
2020-03-31,Dauphin,45,1
2020-03-31,Delaware,338,5
2020-03-31,Erie,14,0
2020-03-31,Fayette,14,0
2020-03-31,Franklin,19,0
2020-03-31,Greene,9,0
2020-03-31,Huntingdon,1,0
2020-03-31,Indiana,6,0
2020-03-31,Juniata,3,0
2020-03-31,Lackawanna,78,3
2020-03-31,Lancaster,123,3
2020-03-31,Lawrence,13,2
2020-03-31,Lebanon,28,0
2020-03-31,Lehigh,272,4
2020-03-31,Luzerne,212,4
2020-03-31,Lycoming,6,0
2020-03-31,Mckean,1,0
2020-03-31,Mercer,8,0
2020-03-31,Mifflin,2,0
2020-03-31,Monroe,236,7
2020-03-31,Montgomery,570,6
2020-03-31,Montour,9,0
2020-03-31,Northampton,245,5
2020-03-31,Northumberland,1,0
2020-03-31,Perry,1,0
2020-03-31,Philadelphia,1197,10
2020-03-31,Pike,48,1
2020-03-31,Potter,2,0
2020-03-31,Schuylkill,38,0
2020-03-31,Snyder,2,1
2020-03-31,Somerset,2,0
2020-03-31,Susquehanna,1,0
2020-03-31,Tioga,2,0
2020-03-31,Union,4,0
2020-03-31,Venango,3,0
2020-03-31,Warren,1,0
2020-03-31,Washington,33,0
2020-03-31,Wayne,10,0
2020-03-31,Westmoreland,61,0
2020-03-31,York,66,0
2020-03-30,Adams,8,0
2020-03-30,Allegheny,290,2
2020-03-30,Armstrong,3,0
2020-03-30,Beaver,44,0
2020-03-30,Berks,82,0
2020-03-30,Blair,6,0
2020-03-30,Bradford,3,0
2020-03-30,Bucks,246,3
2020-03-30,Butler,49,2
2020-03-30,Cambria,2,0
2020-03-30,Cameron,1,0
2020-03-30,Carbon,13,0
2020-03-30,Centre,24,0
2020-03-30,Chester,146,0
2020-03-30,Clarion,1,0
2020-03-30,Clearfield,4,0
2020-03-30,Columbia,6,0
2020-03-30,Crawford,4,0
2020-03-30,Cumberland,24,1
2020-03-30,Dauphin,36,0
2020-03-30,Delaware,303,4
2020-03-30,Erie,13,0
2020-03-30,Fayette,11,0
2020-03-30,Franklin,12,0
2020-03-30,Greene,7,0
2020-03-30,Huntingdon,1,0
2020-03-30,Indiana,2,0
2020-03-30,Juniata,3,0
2020-03-30,Lackawanna,62,2
2020-03-30,Lancaster,97,2
2020-03-30,Lawrence,10,1
2020-03-30,Lebanon,27,0
2020-03-30,Lehigh,231,3
2020-03-30,Luzerne,150,3
2020-03-30,Lycoming,4,0
2020-03-30,Mckean,1,0
2020-03-30,Mercer,7,0
2020-03-30,Mifflin,1,0
2020-03-30,Monroe,182,7
2020-03-30,Montgomery,540,5
2020-03-30,Montour,10,0
2020-03-30,Northampton,184,5
2020-03-30,Northumberland,1,0
2020-03-30,Perry,1,0
2020-03-30,Philadelphia,1007,7
2020-03-30,Pike,39,1
2020-03-30,Potter,2,0
2020-03-30,Schuylkill,30,0
2020-03-30,Snyder,2,0
2020-03-30,Somerset,2,0
2020-03-30,Susquehanna,1,0
2020-03-30,Tioga,1,0
2020-03-30,Union,4,0
2020-03-30,Venango,1,0
2020-03-30,Warren,1,0
2020-03-30,Washington,26,0
2020-03-30,Wayne,10,0
2020-03-30,Westmoreland,55,0
2020-03-30,York,54,0
2020-03-29,Adams,8,0
2020-03-29,Allegheny,265,2
2020-03-29,Armstrong,3,0
2020-03-29,Beaver,28,0
2020-03-29,Berks,68,0
2020-03-29,Blair,3,0
2020-03-29,Bradford,3,0
2020-03-29,Bucks,203,1
2020-03-29,Butler,47,2
2020-03-29,Cambria,1,0
2020-03-29,Cameron,1,0
2020-03-29,Carbon,9,0
2020-03-29,Centre,22,0
2020-03-29,Chester,137,0
2020-03-29,Clarion,1,0
2020-03-29,Clearfield,2,0
2020-03-29,Columbia,6,0
2020-03-29,Crawford,3,0
2020-03-29,Cumberland,22,1
2020-03-29,Dauphin,35,0
2020-03-29,Delaware,276,4
2020-03-29,Erie,7,0
2020-03-29,Fayette,10,0
2020-03-29,Franklin,11,0
2020-03-29,Greene,6,0
2020-03-29,Huntingdon,1,0
2020-03-29,Indiana,2,0
2020-03-29,Juniata,1,0
2020-03-29,Lackawanna,56,2
2020-03-29,Lancaster,67,2
2020-03-29,Lawrence,8,1
2020-03-29,Lebanon,19,0
2020-03-29,Lehigh,151,3
2020-03-29,Luzerne,94,2
2020-03-29,Lycoming,3,0
2020-03-29,Mckean,1,0
2020-03-29,Mercer,7,0
2020-03-29,Mifflin,2,0
2020-03-29,Monroe,135,3
2020-03-29,Montgomery,488,5
2020-03-29,Montour,4,0
2020-03-29,Northampton,126,4
2020-03-29,Northumberland,1,0
2020-03-29,Perry,1,0
2020-03-29,Philadelphia,865,5
2020-03-29,Pike,33,1
2020-03-29,Potter,2,0
2020-03-29,Schuylkill,21,0
2020-03-29,Snyder,2,0
2020-03-29,Somerset,2,0
2020-03-29,Susquehanna,1,0
2020-03-29,Tioga,1,0
2020-03-29,Venango,1,0
2020-03-29,Warren,1,0
2020-03-29,Washington,24,0
2020-03-29,Wayne,7,0
2020-03-29,Westmoreland,47,0
2020-03-29,York,43,0
2020-03-28,Adams,8,0
2020-03-28,Allegheny,219,2
2020-03-28,Armstrong,2,0
2020-03-28,Beaver,22,0
2020-03-28,Berks,65,0
2020-03-28,Blair,2,0
2020-03-28,Bradford,3,0
2020-03-28,Bucks,152,0
2020-03-28,Butler,41,2
2020-03-28,Cambria,1,0
2020-03-28,Cameron,1,0
2020-03-28,Carbon,3,0
2020-03-28,Centre,15,0
2020-03-28,Chester,116,0
2020-03-28,Clarion,1,0
2020-03-28,Clearfield,2,0
2020-03-28,Columbia,4,0
2020-03-28,Crawford,2,0
2020-03-28,Cumberland,22,1
2020-03-28,Dauphin,23,0
2020-03-28,Delaware,226,4
2020-03-28,Erie,7,0
2020-03-28,Fayette,10,0
2020-03-28,Franklin,7,0
2020-03-28,Greene,6,0
2020-03-28,Huntingdon,1,0
2020-03-28,Indiana,2,0
2020-03-28,Juniata,1,0
2020-03-28,Lackawanna,51,2
2020-03-28,Lancaster,45,1
2020-03-28,Lawrence,8,0
2020-03-28,Lebanon,15,0
2020-03-28,Lehigh,109,3
2020-03-28,Luzerne,65,2
2020-03-28,Lycoming,2,0
2020-03-28,Mckean,1,0
2020-03-28,Mercer,6,0
2020-03-28,Monroe,106,2
2020-03-28,Montgomery,411,5
2020-03-28,Montour,5,0
2020-03-28,Northampton,94,4
2020-03-28,Northumberland,1,0
2020-03-28,Perry,1,0
2020-03-28,Philadelphia,709,5
2020-03-28,Pike,27,1
2020-03-28,Potter,2,0
2020-03-28,Schuylkill,16,0
2020-03-28,Snyder,1,0
2020-03-28,Somerset,2,0
2020-03-28,Susquehanna,1,0
2020-03-28,Tioga,1,0
2020-03-28,Warren,1,0
2020-03-28,Washington,23,0
2020-03-28,Wayne,6,0
2020-03-28,Westmoreland,41,0
2020-03-28,York,37,0
2020-03-27,Adams,8,0
2020-03-27,Allegheny,158,2
2020-03-27,Armstrong,1,0
2020-03-27,Beaver,14,0
2020-03-27,Berks,65,0
2020-03-27,Blair,1,0
2020-03-27,Bradford,2,0
2020-03-27,Bucks,124,0
2020-03-27,Butler,26,1
2020-03-27,Cambria,1,0
2020-03-27,Carbon,2,0
2020-03-27,Centre,11,0
2020-03-27,Chester,107,0
2020-03-27,Clearfield,2,0
2020-03-27,Columbia,3,0
2020-03-27,Crawford,1,0
2020-03-27,Cumberland,16,0
2020-03-27,Dauphin,18,0
2020-03-27,Delaware,185,3
2020-03-27,Erie,7,0
2020-03-27,Fayette,9,0
2020-03-27,Franklin,5,0
2020-03-27,Greene,4,0
2020-03-27,Indiana,2,0
2020-03-27,Juniata,1,0
2020-03-27,Lackawanna,35,2
2020-03-27,Lancaster,33,0
2020-03-27,Lawrence,4,0
2020-03-27,Lebanon,12,0
2020-03-27,Lehigh,93,2
2020-03-27,Luzerne,55,2
2020-03-27,Lycoming,2,0
2020-03-27,Mercer,4,0
2020-03-27,Monroe,98,2
2020-03-27,Montgomery,374,3
2020-03-27,Montour,4,0
2020-03-27,Northampton,79,3
2020-03-27,Northumberland,1,0
2020-03-27,Philadelphia,530,2
2020-03-27,Pike,23,0
2020-03-27,Potter,1,0
2020-03-27,Schuylkill,13,0
2020-03-27,Somerset,2,0
2020-03-27,Susquehanna,1,0
2020-03-27,Union,1,0
2020-03-27,Warren,1,0
2020-03-27,Washington,14,0
2020-03-27,Wayne,6,0
2020-03-27,Westmoreland,30,0
2020-03-27,York,29,0
2020-03-26,Adams,7,0
2020-03-26,Allegheny,133,2
2020-03-26,Armstrong,1,0
2020-03-26,Beaver,13,0
2020-03-26,Berks,36,0
2020-03-26,Blair,1,0
2020-03-26,Bradford,2,0
2020-03-26,Bucks,107,0
2020-03-26,Butler,19,1
2020-03-26,Cambria,1,0
2020-03-26,Carbon,2,0
2020-03-26,Centre,9,0
2020-03-26,Chester,84,0
2020-03-26,Clearfield,2,0
2020-03-26,Columbia,3,0
2020-03-26,Crawford,1,0
2020-03-26,Cumberland,15,0
2020-03-26,Dauphin,13,0
2020-03-26,Delaware,156,1
2020-03-26,Erie,4,0
2020-03-26,Fayette,8,0
2020-03-26,Franklin,5,0
2020-03-26,Greene,3,0
2020-03-26,Indiana,1,0
2020-03-26,Juniata,1,0
2020-03-26,Lackawanna,28,2
2020-03-26,Lancaster,21,0
2020-03-26,Lawrence,1,0
2020-03-26,Lebanon,4,0
2020-03-26,Lehigh,63,1
2020-03-26,Luzerne,36,1
2020-03-26,Lycoming,1,0
2020-03-26,Mercer,3,0
2020-03-26,Monroe,67,2
2020-03-26,Montgomery,282,2
2020-03-26,Montour,4,0
2020-03-26,Northampton,56,3
2020-03-26,Philadelphia,402,1
2020-03-26,Pike,15,0
2020-03-26,Potter,1,0
2020-03-26,Schuylkill,9,0
2020-03-26,Somerset,2,0
2020-03-26,Susquehanna,1,0
2020-03-26,Warren,1,0
2020-03-26,Washington,12,0
2020-03-26,Wayne,6,0
2020-03-26,Westmoreland,24,0
2020-03-26,York,21,0
2020-03-25,Adams,6,0
2020-03-25,Allegheny,88,2
2020-03-25,Armstrong,1,0
2020-03-25,Beaver,7,0
2020-03-25,Berks,20,0
2020-03-25,Bradford,1,0
2020-03-25,Bucks,86,0
2020-03-25,Butler,12,0
2020-03-25,Cambria,1,0
2020-03-25,Carbon,1,0
2020-03-25,Centre,8,0
2020-03-25,Chester,54,0
2020-03-25,Clearfield,2,0
2020-03-25,Columbia,1,0
2020-03-25,Cumberland,13,0
2020-03-25,Dauphin,10,0
2020-03-25,Delaware,101,0
2020-03-25,Erie,4,0
2020-03-25,Fayette,4,0
2020-03-25,Franklin,5,0
2020-03-25,Greene,2,0
2020-03-25,Juniata,1,0
2020-03-25,Lackawanna,18,2
2020-03-25,Lancaster,12,0
2020-03-25,Lawrence,1,0
2020-03-25,Lebanon,3,0
2020-03-25,Lehigh,38,0
2020-03-25,Luzerne,27,1
2020-03-25,Lycoming,1,0
2020-03-25,Mercer,2,0
2020-03-25,Monroe,51,1
2020-03-25,Montgomery,172,1
2020-03-25,Montour,4,0
2020-03-25,Northampton,44,3
2020-03-25,Philadelphia,257,1
2020-03-25,Pike,9,0
2020-03-25,Potter,1,0
2020-03-25,Schuylkill,6,0
2020-03-25,Somerset,2,0
2020-03-25,Warren,1,0
2020-03-25,Washington,10,0
2020-03-25,Wayne,4,0
2020-03-25,Westmoreland,16,0
2020-03-25,York,20,0
2020-03-24,Adams,6,0
2020-03-24,Allegheny,58,2
2020-03-24,Armstrong,1,0
2020-03-24,Beaver,3,0
2020-03-24,Berks,16,0
2020-03-24,Bradford,1,0
2020-03-24,Bucks,65,0
2020-03-24,Butler,6,0
2020-03-24,Cambria,1,0
2020-03-24,Carbon,1,0
2020-03-24,Centre,7,0
2020-03-24,Chester,40,0
2020-03-24,Clearfield,1,0
2020-03-24,Columbia,1,0
2020-03-24,Cumberland,13,0
2020-03-24,Dauphin,4,0
2020-03-24,Delaware,84,0
2020-03-24,Erie,4,0
2020-03-24,Fayette,2,0
2020-03-24,Franklin,3,0
2020-03-24,Juniata,1,0
2020-03-24,Lackawanna,15,1
